svc_sentiment,text
positive,Great love it
positive,All Amazon products continue to meet my expectations
positive,Good product. I like it
positive,Made well. Like looks and style
positive,Yes it met all of my needs 5 Stars
positive,Great product
positive,The only complaint I have about this kindle is that the camera takes &#34;grainy&#34; pictures. After trying everything to fix the problem the pictures are not good.
positive,great
positive,I love this product
positive,Love it!!!
negative,Its a nice tablet but I was disappointed to see that they deliberately made using Chromecast impossible
positive,Was a gift
negative,Doesn't have as much space as I thought it has.
positive,Excellent device. HD is top notch. Sound is great. Would definately recommend Fire HD
negative,Just have to learn how to use
positive,I thought I would have to ask a professional to set me up with my new Kindle Fire HD.  NOT SO. I was able to program the Kindle easily on my own.  All of my previous books were already there.
positive,Great item
positive,I finally gave in a replaced my Paperwhite with a Fire. I really loved my Paperwhite and I think I'm going to love this as well. I use it every day and I get a little upset when I accidentall
positive,Perfect size with great capabilities. Very excited that  I made the choice to finally purchase one of these.
positive,We've bought several for family members!
positive,I have a Kindle addiction!
negative,The unit came with NO directions of use of any kind.  Don't know how to use it.  Guess I will have to buy a kindle.
positive,Overall it's good for the kids.  I don't take advantage of all the things it can do.  But some things are confusing like how apps are loaded and then given to other profiles.  Each app uses s
positive,Does everything I wanted it to do.
negative,Good value but the operating system is a little buggy. It periodically crashes and requires rebooting.
positive,Love it!  Convenient and use the library to download books!  Should have done this a long time ago!
positive,This generation has perfected the placement of all the ports. Very fast operation. Excellent sound. I love my new Kindle Fire HD!!
negative,Can't personalize or connect with google.
positive,It was a gift and  much appreciated.  I love it
positive,Love it.
positive,Love it.
positive,Great!
positive,Good choice
positive,It is so easy to use. Books are easy to read and I carry it everywhere with me.
positive,Great product
positive,Great tablet from amazon love the new changes with HD and speed
positive,I have two. One for each of us. We both love them!!
positive,My third kindle and I have loved them all. Kindle support sucks but the device rocks.
positive,Fantastic!😯
negative,We have two kindle fires. The 7 and the 6. They will not connect to my WiFi and if I finally get them to connect it only lasts for a few minutes. I have tried everything to fix but nothing wo
negative,My old kindle was actually a better one.The speakers on this one stink.sound is distorted and fuzzy at best.It sounds as if the speakers were blown from the day I got it.it's a fourth generat
positive,I love my fire
positive,So far so good.  Wanted a small reader that could also be used to access my e-mail and this looks like it will fill the bill.  Will be able to travel and leave my laptop at home.  Love that i
positive,love it
positive,i lve this tablet. it was a little different to get used to but now I love it. Very clear screen. Nice to hold. Very Durable!
negative,Cumbersome to use.  Ads pop up all the time.  Carousel hinders more than helps.  I like to use hard copy of instruction manuals but I cannot find a way to print one so ordered one.<br /><br /
positive,Great product but hard to find a good case
positive,It's so much faster. It's screen is a bigger.
positive,I love this device but tried so many times still can't get wechat installed on my kindle fire. Help!
positive,I love it.
positive,Love it!
positive,Works great. Couldn't be happier with this!
negative,i returned item
positive,This is my 3rd kindle. I received it for my birthday!!! The first one I gave to my niece and nephew. The 2nd one I gave to my son. I love it! It does everything that I need and with the prime
positive,love it
negative,Not that great. I bought for my granddaughters as a replacement and not big enough always saying delete out of room.Plus I thought it was all black like there old ones don't care for the whit
positive,hearts hearts hearts
positive,Gift for grandson and he loves it!
positive,Great product.  Received earlier than expected.  Expect to enjoy it greatly
negative,I paid 157.00 after the price with shipping and it is already giving me problems and I have not even had the item for a week...the Kindle will not stop freezing and the screen keeps going bla
negative,Very limited number of apps. Reading books it's ok but not a great tablet for all of the choices available on other devices.
positive,Exceeds all expectations!
positive,just wish when you buy the kindle from a retailer you could see the settings to show your memory and version instead of having to go to amazon website
positive,I have always loved the kindle fire and still do
positive,Excellent
positive,Love the upgrade.
positive,It was a birthday gift and I love it
positive,My 8 and 7 year old love their tablets!
positive,I love it!!
positive,great product although the battery doesn't last as long as I'd like.
negative,Apps issue
positive,Amazing!
positive,Excellent
positive,It is a good product for the price. Good quality and a variety of features. Good for the entire family.
positive,I loved the tablet better than the computer because of convenience
positive,I love it! It does everything I need it to!
positive,I love Kindle! Works great!
negative,The camera is poor.  The downloads are easy.
positive,This is the 4th Kindle that I have purchased in the past couple of years as gifts.  Great tablet.  I got this one for my sister and she loves it.
positive,Great product for a very reasonable price.  I am amazed at all it can do.  I like the 7 inch screen for is more book-size for reading.  I can now look at magazines in color!  Thank you for de
positive,There were a few features on my first Kindle Fire that I was unable to figure out on this one. It could be that I am not tech savvy.
negative,I'm having concerns about  the volumn  It goes all the down to a faint whisper after a short time in use. I'm going to use it to watch something at length and see if this continues.  If so I 
positive,This Kindle is so much better than the one I bought 3 years ago. It's so much faster! Advice: get more GB. I'm having to decide what to keep and let go off my device.
positive,This has amazing sound!!! The quality of this tablet is great!!! I love it alot more then I thought I would!! A great value!!!
positive,Great
positive,Great product
positive,Love it so gar
positive,More than I expected...startup was much easier than I expected.
positive,This is my second Kindle fire.  Already own a generation 2 and bought this generation 4 as battery was getting old on my other one. Works great. Especially like the new location of control bu
positive,This is just awesome! It starts up pretty quickly compared to the laptop I have. It's so nice to just grab it when I want to look something up. Now I don't have to wait around for my laptop t
positive,Love it.  This is the fourth one I bought.  One for myself and three others for gifts.  After two years I had a problem with mine.  I called Amazon and they instructed me what to do and my pr
positive,love it
positive,I would buy one wit more space. 8 GB is not enough even a two yr old (for whom it was bought)
positive,Very happy with the new tablet. I had an original version and took advantage of the sale to order this!
positive,Having lots of fun with this tablet. Colors are brilliant. Speakers are great. Overall couldn't be happier with it.
negative,Didn't like the picture quality of the cams..very basic cam..returned it within few days
positive,I enjoy my kindle fire.
positive,still learning to use it.. a bit more of a guide would be nice
positive,Haven't really had time to play with it much
positive,Excellent!!!
positive,I bought my kindle fire. A couple of months ago.  I really like it. I have had no problems. So far. My only complaint  is. I wish the sub or charging cord. Was longer. Because I have this thi
positive,It's a great little tablet. I'm very happy with it.
positive,is exactly what it says it would be
positive,Superb would be an understatement. Wish I had it years ago. Thanks a million.
positive,Runs faster than my toshiba laptop thats for sure. And the sound is alot louder and crisp. I use it everyday.
positive,Still discovering all the bells & whistles. Love it so far.
negative,Unit locks up all of the time. Tech support asked that I use it for 10 days or so and see if it keeps doing it? Not satisfied at all with this product.
positive,Who doesn't love the Fire!! Can do anything I ask it to do!
positive,This was an anniversary gift and he loves it still. It's fast and efficient. Seems like it would be good for older kids as well
positive,love it love it love it wanted one for years
positive,so far so good - my first tablet and I enjoy ALL the features it has
positive,Excellent product.
positive,I am very happy with the tablets performance.
positive,Had an original fire. New ones even better. Easy to navigate through and overall lovely.
positive,Yes it did and am very happy.Still checking it out and learning about it ready to start ordering books again.
positive,Love it way better than IPad
positive,This is my econd Kindel Fire. The first one was damaged by accident and i wanted to get the same thing as I was very happy with it.
positive,Very cool table and easy to use. The HD 7 meets all my expectations. Battery life is not the greatest.
positive,Perfect for what it's intended.
positive,Nice! Love these things
positive,Works grat for me!
negative,Slow download capacity. But the unit is pretty good. I haven't used the fire stick as I'm a prime guest not given the same perks as a prime account user. Have to pay for the movies
negative,Nice picture and does the simple things I wanted it to do but a little heavy for my taste.  Samsung is lighter for a larger screen but quite a bit more pricey.
positive,awesome and use it every day
positive,Great!!!
positive,Love my new Kindle!
positive,Exactly as expected
positive,I'm an apple lover. this is the first kindle....its hard to get used to. I didn't like that I had to pay to get the constant ads off!!! that was shocking. I like the screen for reading. I don
positive,I'm writing this review on my fire tablet right now!  It's a great little device. I mainly for it for reading but I was pleasantly surprised by just how much it could do. I really like how it
positive,Good reading device and easy to use
positive,I love my reader!
positive,I like it
positive,It was a gift from Elizabeth. She gave it to me with the receipt to return it. I wasn't so sure I'd want it: I have an ipad. I was thinking of getting a new paper white kindle and this Fire d
positive,I love it.  The size is perfect. The processor is fast and the battery had a decent use time. Being used to Apple I'm having to learn how to navigate without all the apps I'm use to. But with
positive,Its all I expected. The battery lasts forever. The selection of books is phenomenal. Great reader and internet access. Sound is great. Camera is awesome. Haven't found anything I don't like. 
positive,It's the greatest thing.
negative,Charge not what I thought but it's still a good product
positive,Love it
positive,It my Christmas present this year. I love it
positive,I don't know what I would do without my kindle!
negative,I have been using IPAD tablet for years and I am still staying and sticking with my IPAD in many aspects. Fire HD is cheaper and will be OK for reading but not for surfing the internet and ot
negative,Its nice and cheap but the app store is awful.  Amazon apps are awful they are missing very popular and important apps. Also you can't customize your kindle and they use your home screen as a
positive,Bought it for the additional camera and photo app. Had ordered blue but received black.
positive,I bought this for my mother. She is in the nursing home and loves to read. This is her 3rd Kindle and the best by far. It was so easy for her to learn how to use it!
positive,Good book reader
positive,Just a bit different than my previous Kindle Fire but I have no issues at this time.
positive,I LOVE IT!!!!!!!!!!!
positive,I love my new Fire!!
positive,Perfect size. Streams perfect. Easy to carry along. Big enough to watch videos. Excellent price.
positive,Great product. Enjoy it immensely. Easy to use and read
positive,The camera resolution is not very clear.
positive,Very pleased. I needed the update.
positive,It is better than the original Kindle. The display is great<br />and the size is just perfect.
positive,Easy to use and download books and apps.
positive,Perfect!
positive,Great graphics and functionality
positive,best thing ever
positive,Interesting upgrade from old kindle fire. Wish it did not have ads.
positive,wife loves it
positive,Love it!
positive,I love the kindle had and so does my family<br />!
positive,Love the pink color. My only complaint is Amazon Apps don't have the same apps as Play and ITunes. I almost returned it for an Andriod but I really wanted this for the Kindle reading and scre
negative,Very disappointed in the charging process.  It holds a full charge for 5 hours but runs down the battery whether in use or not.  Will be plugged in all day/night and still not be charged.  Wi
positive,I love this tablet.  Well worth the money.
negative,Love this but it's a little small
negative,I got this during the Amazon one day sale. For the $79 price it is a pretty good purchase. After having it for a month it died. I couldnt even factory reset and had to get a replacement. Amaz
positive,Excellent product......meets my expectations!!!!
positive,I love this tablet it is the perfect size
positive,ok
positive,i am enjoying my new Kindle so far. I have read a couple of books. I am still in the process of learning.
negative,I did not like Fire HD 7 at all. My old Kindle is much better that is why I sent it back.
positive,Like it.
positive,Great kindle fire.
positive,Still learning.
positive,can't wait till x-mas I think my son will luv this
positive,It gives me everything I could possibly want great books amazing movies and the pictures are SO clear thank you so much for the amazing things you make this tablet do for me it's really put s
negative,You lose so much when moving from Android Tablet. Never again.
negative,I love the weight of this Kindle. But it keeps stalling and I end up with a black screen. The only thing I can do is restart. The charger does not stay in the hole on the Kindle.  They tried 
positive,my wife loves it
negative,This is very slow. Likes to freeze up. Would not buy one. Won this in a raffle. I will be sticking with the I pad.
positive,Have not read one book yet.
positive,I love my new kindle
positive,wonderful item.. fast shipping
positive,Im giving this as a gift. Im sure the other person will enjoy.
positive,LOVE IT!
positive,As usual it's wonderful
positive,Works fine. I don't know what people in<br />the other reviews are complaining about with the pixel sizes/ resolution. I have excellent eyesight and I can't tell a difference. Screen has exce
positive,It was a birthday gift!  Everyone here is enjoying it.  Very easy to use!
positive,Replaced my first gen kindle. It can always use improvement so 4 stars.<br /><br />My one major complaint is it doesn't dim enough. I'm not sure why they don't give us the full range of dimmi
positive,My daughter absolutely loves it!!
positive,My second fire.  Absolutely love kindles.
positive,Happy with this product....thank you!
positive,Love it!!!
positive,I bought it for my dad. He loves it :)
positive,very pleased. met all my expections.
positive,Works great and is easy to use
